"ZIP","Specialists","Int_family","Nurs_Assist"
90003,3,18,9
90010,1,12,15
90012,3,21,10
90015,3,55,40
90017,8,46,27
90019,1,4,NA
90020,3,13,12
90024,5,25,5
90027,32,239,257
90028,2,22,32
90029,1,17,12
90033,38,237,234
90034,20,156,98
90036,1,13,6
90045,2,8,6
90048,39,102,41
90057,1,24,37
90059,5,27,6
90066,1,34,10
90067,2,NA,3
90069,1,NA,1
90089,1,10,19
90095,85,341,35
90210,2,2,2
90211,5,30,17
90222,2,8,1
90230,1,16,31
90241,3,27,29
90242,18,185,82
90247,2,10,11
90248,2,21,47
90255,2,25,14
90262,2,25,52
90277,1,19,1
90301,3,35,23
90404,13,52,19
90502,8,31,24
90503,3,40,12
90505,25,61,13
90602,2,50,44
90603,1,13,6
90605,2,16,4
90606,3,11,6
90640,2,50,35
90650,2,20,18
90703,1,28,7
90710,15,188,48
90712,3,26,21
90723,1,16,12
90732,2,20,2
90806,8,60,40
90808,4,12,10
90813,9,50,49
90815,4,29,9
91006,2,18,4
91007,1,35,15
91010,7,80,174
91011,1,5,3
91105,17,52,35
91107,1,76,15
91203,1,20,4
91204,3,31,11
91205,2,14,10
91206,5,45,15
91208,2,21,24
91303,1,3,2
91307,8,13,11
91321,1,6,3
91324,1,9,8
91325,5,37,11
91326,1,23,4
91342,3,35,14
91345,6,65,49
91351,1,4,4
91355,7,71,51
91356,7,24,13
91367,13,163,53
91402,18,162,61
91405,3,50,18
91436,3,11,6
91505,6,41,26
91602,1,4,NA
91605,1,5,13
91607,2,8,1
91706,18,143,77
91711,3,28,9
91722,5,11,2
91733,2,14,11
91740,3,11,10
91741,2,21,25
91745,1,16,7
91754,10,45,28
91766,2,13,10
91767,11,47,89
91776,3,38,15
91790,1,74,72
91801,2,44,24
93534,12,125,65
90001,NA,6,14
90002,NA,7,9
90004,NA,12,2
90005,NA,3,2
90006,NA,17,13
90007,NA,18,19
90008,NA,16,4
90011,NA,13,38
90013,NA,4,9
90014,NA,7,12
90016,NA,4,6
90021,NA,2,4
90022,NA,69,27
90023,NA,13,16
90025,NA,4,3
90026,NA,17,10
90031,NA,13,5
90032,NA,3,5
90035,NA,9,5
90037,NA,10,16
90038,NA,32,4
90039,NA,1,NA
90040,NA,1,5
90041,NA,7,12
90042,NA,10,12
90043,NA,2,NA
90044,NA,11,11
90046,NA,6,NA
90047,NA,7,11
90049,NA,1,NA
90056,NA,3,3
90062,NA,6,8
90063,NA,4,4
90064,NA,1,5
90065,NA,4,5
90071,NA,2,NA
90094,NA,1,NA
90201,NA,41,36
90220,NA,10,6
90221,NA,8,23
90232,NA,17,7
90240,NA,5,1
90245,NA,8,10
90249,NA,14,4
90250,NA,27,23
90254,NA,4,NA
90260,NA,8,3
90265,NA,2,NA
90266,NA,12,NA
90270,NA,2,4
90272,NA,7,NA
90274,NA,8,1
90275,NA,1,NA
90278,NA,3,4
90280,NA,27,16
90291,NA,10,9
90292,NA,11,2
90302,NA,1,NA
90303,NA,3,3
90304,NA,2,NA
90305,NA,3,4
90401,NA,18,1
90403,NA,15,3
90405,NA,8,3
90501,NA,8,NA
90504,NA,3,NA
90638,NA,13,5
90660,NA,16,17
90670,NA,3,4
90701,NA,3,1
90704,NA,2,3
90706,NA,56,21
90716,NA,4,3
90717,NA,4,4
90731,NA,6,8
90744,NA,11,13
90745,NA,23,6
90746,NA,1,NA
90755,NA,3,1
90802,NA,2,5
90803,NA,2,2
90804,NA,23,23
90805,NA,7,10
90807,NA,16,14
90810,NA,4,5
90814,NA,3,NA
91016,NA,7,3
91020,NA,3,NA
91024,NA,4,NA
91030,NA,1,1
91040,NA,1,5
91042,NA,1,1
91101,NA,10,4
91103,NA,4,8
91104,NA,6,1
91106,NA,9,1
91108,NA,4,3
91201,NA,4,2
91202,NA,31,2
91214,NA,1,1
91301,NA,3,8
91302,NA,1,NA
91304,NA,5,NA
91306,NA,4,7
91311,NA,2,1
91316,NA,3,5
91331,NA,10,18
91335,NA,9,4
91340,NA,21,28
91343,NA,6,3
91344,NA,4,1
91350,NA,14,1
91352,NA,5,10
91361,NA,1,NA
91364,NA,6,NA
91384,NA,1,1
91387,NA,10,2
91401,NA,7,7
91403,NA,27,22
91406,NA,1,3
91411,NA,4,7
91423,NA,3,NA
91501,NA,2,2
91502,NA,13,6
91504,NA,2,11
91506,NA,10,1
91601,NA,9,NA
91606,NA,7,6
91702,NA,11,8
91723,NA,26,27
91724,NA,3,2
91731,NA,31,17
91732,NA,5,2
91744,NA,6,9
91746,NA,6,7
91748,NA,21,7
91750,NA,15,6
91755,NA,1,NA
91765,NA,37,11
91768,NA,5,6
91770,NA,22,5
91773,NA,36,2
91780,NA,7,NA
91789,NA,2,NA
91791,NA,1,NA
91792,NA,4,9
91803,NA,7,NA
93535,NA,18,16
93536,NA,2,NA
93543,NA,1,NA
93550,NA,1,9
93551,NA,12,16
93552,NA,28,5
93591,NA,2,NA
90061,NA,NA,2
90212,NA,NA,1
90601,NA,NA,11
91362,NA,NA,7
